suite,run_id,model,forecast_method,baseline_class,track,source,n_tasks,brier,ece,regret,notes
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,self_forecast,model_forecast_raw,all,all,164,0.3218854674796748,0.26106707317073174,0.0,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,constant_empirical_prior,test_distribution_diagnostic,all,all,164,0.2524315490953095,0.0,0.3231707317073171,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,source_empirical_prior,test_distribution_diagnostic,all,all,164,0.23944571994931438,9.25185853854297e-18,0.006097560975609756,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,prompt_length_empirical,calibration_split_baseline,all,all,164,0.26850325382893875,0.16381428450485153,0.0,metadata-only curve from prompt length
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,output_length_proxy,posthoc_diagnostic,all,all,164,0.2540650406504065,0.18699186991869915,0.018292682926829267,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,single_budget,calibration_split_baseline,all,all,164,0.30280487804878053,0.23800813008130084,0.006097560975609756,threshold curve at the middle budget
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,self_forecast,model_forecast_raw,coding,evalplus_humaneval,164,0.3218854674796748,0.26106707317073174,0.0,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,constant_empirical_prior,test_distribution_diagnostic,coding,evalplus_humaneval,164,0.2524315490953095,0.0,0.3231707317073171,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,source_empirical_prior,test_distribution_diagnostic,coding,evalplus_humaneval,164,0.23944571994931438,9.25185853854297e-18,0.006097560975609756,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,prompt_length_empirical,calibration_split_baseline,coding,evalplus_humaneval,164,0.26850325382893875,0.16381428450485153,0.0,metadata-only curve from prompt length
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,output_length_proxy,posthoc_diagnostic,coding,evalplus_humaneval,164,0.2540650406504065,0.18699186991869915,0.018292682926829267,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,claude_3_haiku,claude-3-haiku,single_budget,calibration_split_baseline,coding,evalplus_humaneval,164,0.30280487804878053,0.23800813008130084,0.006097560975609756,threshold curve at the middle budget
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,self_forecast,model_forecast_raw,all,all,164,0.17725233739837395,0.1707012195121951,0.006097560975609756,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,constant_empirical_prior,test_distribution_diagnostic,all,all,164,0.1832668194008524,1.1102230246251565e-16,0.6402439024390244,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,source_empirical_prior,test_distribution_diagnostic,all,all,164,0.13182029181878635,5.551115123125783e-17,0.006097560975609756,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,prompt_length_empirical,calibration_split_baseline,all,all,164,0.19880011402158976,0.21401588239854263,0.006097560975609756,metadata-only curve from prompt length
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,output_length_proxy,posthoc_diagnostic,all,all,164,0.11178861788617886,0.15142276422764228,0.07926829268292683,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,single_budget,calibration_split_baseline,all,all,164,0.2595121951219513,0.26016260162601623,0.018292682926829267,threshold curve at the middle budget
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,self_forecast,model_forecast_raw,coding,evalplus_humaneval,164,0.17725233739837395,0.1707012195121951,0.006097560975609756,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,constant_empirical_prior,test_distribution_diagnostic,coding,evalplus_humaneval,164,0.1832668194008524,1.1102230246251565e-16,0.6402439024390244,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,source_empirical_prior,test_distribution_diagnostic,coding,evalplus_humaneval,164,0.13182029181878635,5.551115123125783e-17,0.006097560975609756,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,prompt_length_empirical,calibration_split_baseline,coding,evalplus_humaneval,164,0.19880011402158976,0.21401588239854263,0.006097560975609756,metadata-only curve from prompt length
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,output_length_proxy,posthoc_diagnostic,coding,evalplus_humaneval,164,0.11178861788617886,0.15142276422764228,0.07926829268292683,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,deepseek_v3_0324,DeepSeek-V3-0324,single_budget,calibration_split_baseline,coding,evalplus_humaneval,164,0.2595121951219513,0.26016260162601623,0.018292682926829267,threshold curve at the middle budget
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,self_forecast,model_forecast_raw,all,all,164,0.13702388211382113,0.06769308943089433,0.018292682926829267,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,constant_empirical_prior,test_distribution_diagnostic,all,all,164,0.25017712228761413,0.0,0.8109756097560976,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,source_empirical_prior,test_distribution_diagnostic,all,all,164,0.13602318491475027,0.0,0.03048780487804878,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,prompt_length_empirical,calibration_split_baseline,all,all,164,0.15009827721164345,0.13754154246696737,0.018292682926829267,metadata-only curve from prompt length
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,output_length_proxy,posthoc_diagnostic,all,all,164,0.1443089430894309,0.08638211382113817,0.2682926829268293,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,single_budget,calibration_split_baseline,all,all,164,0.17048780487804882,0.026422764227642254,0.024390243902439025,threshold curve at the middle budget
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,self_forecast,model_forecast_raw,coding,evalplus_humaneval,164,0.13702388211382113,0.06769308943089433,0.018292682926829267,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,constant_empirical_prior,test_distribution_diagnostic,coding,evalplus_humaneval,164,0.25017712228761413,0.0,0.8109756097560976,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,source_empirical_prior,test_distribution_diagnostic,coding,evalplus_humaneval,164,0.13602318491475027,0.0,0.03048780487804878,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,prompt_length_empirical,calibration_split_baseline,coding,evalplus_humaneval,164,0.15009827721164345,0.13754154246696737,0.018292682926829267,metadata-only curve from prompt length
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,output_length_proxy,posthoc_diagnostic,coding,evalplus_humaneval,164,0.1443089430894309,0.08638211382113817,0.2682926829268293,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,gemini_2_0_flash_001,gemini-2.0-flash-001,single_budget,calibration_split_baseline,coding,evalplus_humaneval,164,0.17048780487804882,0.026422764227642254,0.024390243902439025,threshold curve at the middle budget
paper_evalplus_humaneval_full,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,self_forecast,model_forecast_raw,all,all,164,0.1620417682926829,0.10694105691056914,0.024390243902439025,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,constant_empirical_prior,test_distribution_diagnostic,all,all,164,0.25075096560461635,0.0,0.7987804878048781,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,source_empirical_prior,test_distribution_diagnostic,all,all,164,0.14350684381547418,0.053905431692353734,0.036585365853658534,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,prompt_length_empirical,calibration_split_baseline,all,all,164,0.15578617525733576,0.13652528230436575,0.024390243902439025,metadata-only curve from prompt length
paper_evalplus_humaneval_full,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,output_length_proxy,posthoc_diagnostic,all,all,164,0.14888211382113822,0.07977642276422767,0.24390243902439024,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,gemini_2_0_flash_lite_001,gemini-2.0-flash-lite-001,single_budget,calibration_split_baseline,all,all,164,0.1710975609756098,0.018495934959349633,0.024390243902439025,threshold curve at the middle budget
